Admission grade,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,Target,y_labels
0.3399999999999998,0.0566037735849056,0.0,0.0,0.0,0.0,0.0,0.0,0.372093023255814,0.4888888888888888,Dropout,-1
0.5,0.0377358490566037,0.2307692307692307,0.2307692307692307,0.7417218543046358,0.2608695652173913,0.3,0.7358974358974358,0.7325581395348838,0.1111111111111111,Graduate,1
0.3136842105263158,0.0377358490566037,0.2307692307692307,0.0,0.0,0.2608695652173913,0.0,0.0,0.372093023255814,0.4888888888888888,Dropout,-1
0.2589473684210526,0.0566037735849056,0.2307692307692307,0.2307692307692307,0.7114474929044465,0.2608695652173913,0.25,0.6676923076923077,0.2093023255813954,0.0,Graduate,1
0.4894736842105263,0.5283018867924527,0.2307692307692307,0.1923076923076923,0.6534216335540839,0.2608695652173913,0.3,0.7,0.7325581395348838,0.1111111111111111,Graduate,1
0.2084210526315788,0.6226415094339623,0.1923076923076923,0.1923076923076923,0.6281929990539262,0.217391304347826,0.25,0.6192307692307691,1.0,0.2444444444444444,Graduate,1
0.351578947368421,0.0188679245283018,0.2692307692307693,0.2692307692307693,0.704635761589404,0.3478260869565217,0.4,0.7724230769230769,0.9186046511627908,0.7999999999999999,Graduate,1
0.1905263157894736,0.0943396226415094,0.1923076923076923,0.0,0.0,0.217391304347826,0.0,0.0,0.9186046511627908,0.7999999999999999,Dropout,-1
0.3610526315789475,0.0754716981132075,0.2307692307692307,0.2307692307692307,0.7350993377483444,0.2608695652173913,0.3,0.7615384615384615,1.0,0.2444444444444444,Graduate,1
0.2947368421052632,0.0188679245283018,0.2307692307692307,0.1923076923076923,0.6039735099337749,0.2608695652173913,0.1,0.7269230769230769,0.1511627906976745,0.4888888888888888,Dropout,-1
0.374736842105263,0.0188679245283018,0.2307692307692307,0.2307692307692307,0.6534216335540839,0.2608695652173913,0.25,0.7646153846153845,0.7325581395348838,0.1111111111111111,Graduate,1
0.2557894736842105,0.0188679245283018,0.3076923076923077,0.2692307692307693,0.7000946073793756,0.3478260869565217,0.35,0.7115384615384615,0.5930232558139535,1.0,Graduate,1
0.3705263157894736,0.0377358490566037,0.2307692307692307,0.0,0.0,0.2608695652173913,0.0,0.0,0.5930232558139535,1.0,Dropout,-1
0.1768421052631579,0.0754716981132075,0.2307692307692307,0.2307692307692307,0.5600756859035004,0.2608695652173913,0.25,0.5923076923076923,0.1511627906976745,0.4888888888888888,Graduate,1
0.443157894736842,0.0188679245283018,0.1923076923076923,0.1538461538461538,0.7019867549668874,0.217391304347826,0.25,0.6461538461538461,0.372093023255814,0.4888888888888888,Graduate,1
0.2705263157894737,0.0566037735849056,0.2307692307692307,0.1923076923076923,0.6993377483443708,0.2608695652173913,0.0,0.0,0.9186046511627908,0.7999999999999999,Dropout,-1
0.4463157894736842,0.0188679245283018,0.2307692307692307,0.0384615384615384,0.6357615894039735,0.2608695652173913,0.1,0.5923076923076923,0.372093023255814,0.4888888888888888,Enrolled,1
0.3399999999999998,0.0188679245283018,0.2692307692307693,0.2692307692307693,0.7049668874172186,0.3478260869565217,0.4,0.7831923076923076,0.9186046511627908,0.7999999999999999,Graduate,1
0.4347368421052633,0.0566037735849056,0.1923076923076923,0.1538461538461538,0.6622516556291391,0.217391304347826,0.2,0.6596153846153846,0.372093023255814,0.4888888888888888,Graduate,1
0.3115789473684209,0.0188679245283018,0.2692307692307693,0.2307692307692307,0.6181015452538631,0.3043478260869565,0.3,0.7269230769230769,1.0,0.2444444444444444,Enrolled,1
0.266315789473684,0.0754716981132075,0.0,0.0,0.0,0.0,0.0,0.0,0.4069767441860464,0.3111111111111111,Graduate,1
0.2821052631578946,0.0566037735849056,0.2692307692307693,0.2692307692307693,0.6059602649006622,0.3478260869565217,0.4,0.6151923076923077,0.5930232558139535,1.0,Enrolled,1
0.3210526315789472,0.0188679245283018,0.3076923076923077,0.2692307692307693,0.6811731315042574,0.3478260869565217,0.35,0.6923076923076923,0.5930232558139535,1.0,Graduate,1
0.2094736842105262,0.0377358490566037,0.2307692307692307,0.2307692307692307,0.7086092715231788,0.2608695652173913,0.3,0.6615384615384615,0.4069767441860464,0.3111111111111111,Graduate,1
0.3042105263157895,0.0377358490566037,0.2692307692307693,0.2307692307692307,0.704459161147903,0.3478260869565217,0.35,0.7599999999999999,0.4069767441860464,0.3111111111111111,Graduate,1
0.6526315789473685,0.0188679245283018,0.2307692307692307,0.1923076923076923,0.614569536423841,0.2608695652173913,0.2,0.5923076923076923,0.0,0.7555555555555555,Enrolled,1
0.2252631578947368,0.0754716981132075,0.2307692307692307,0.2307692307692307,0.6026490066225165,0.2608695652173913,0.3,0.7153846153846154,1.0,0.2444444444444444,Graduate,1
0.3789473684210527,0.0188679245283018,0.1923076923076923,0.1923076923076923,0.6710816777041942,0.217391304347826,0.2,0.7,0.2093023255813954,0.0,Enrolled,1
0.2852631578947366,0.0566037735849056,0.1923076923076923,0.1923076923076923,0.6357615894039735,0.217391304347826,0.25,0.6641025641025641,1.0,0.2444444444444444,Graduate,1
0.2505263157894737,0.0377358490566037,0.2692307692307693,0.2307692307692307,0.6852097130242825,0.3043478260869565,0.3,0.7385897435897436,1.0,0.2444444444444444,Enrolled,1
0.5789473684210527,0.0754716981132075,0.2307692307692307,0.1923076923076923,0.6281929990539262,0.2608695652173913,0.25,0.5692307692307692,1.0,0.2444444444444444,Enrolled,1
0.368421052631579,0.0566037735849056,0.2307692307692307,0.2307692307692307,0.6799116997792495,0.2608695652173913,0.2,0.7215384615384615,0.1511627906976745,0.4888888888888888,Graduate,1
0.4610526315789474,0.0188679245283018,0.1923076923076923,0.1153846153846153,0.6004415011037528,0.217391304347826,0.1,0.7269230769230769,0.1511627906976745,0.4888888888888888,Enrolled,1
0.4157894736842105,0.0377358490566037,0.2307692307692307,0.2307692307692307,0.6710816777041942,0.2608695652173913,0.3,0.7740384615384615,0.5581395348837211,0.2888888888888888,Graduate,1
0.3831578947368421,0.320754716981132,0.1923076923076923,0.1923076923076923,0.656953642384106,0.217391304347826,0.25,0.7230769230769231,0.7325581395348838,0.1111111111111111,Graduate,1
0.0789473684210526,0.3773584905660377,0.2692307692307693,0.0,0.0,0.3043478260869565,0.05,0.5384615384615384,0.1511627906976745,0.4888888888888888,Dropout,-1
0.3557894736842106,0.490566037735849,0.1923076923076923,0.0,0.0,0.217391304347826,0.0,0.0,0.0,0.7555555555555555,Dropout,-1
0.2936842105263157,0.7169811320754718,0.1923076923076923,0.0384615384615384,0.5298013245033113,0.217391304347826,0.1,0.6461538461538461,1.0,0.2444444444444444,Dropout,-1
0.1989473684210527,0.4150943396226415,0.1923076923076923,0.1923076923076923,0.5827814569536424,0.217391304347826,0.25,0.6246153846153846,0.0,0.7555555555555555,Graduate,1
0.263157894736842,0.0566037735849056,0.2307692307692307,0.1153846153846153,0.6181015452538631,0.2608695652173913,0.15,0.6461538461538461,0.5581395348837211,0.2888888888888888,Dropout,-1
0.2747368421052631,0.0188679245283018,0.2307692307692307,0.1538461538461538,0.6754966887417219,0.217391304347826,0.0,0.0,0.5930232558139535,1.0,Dropout,-1
0.2673684210526317,0.0943396226415094,0.1923076923076923,0.1923076923076923,0.7841059602649006,0.217391304347826,0.25,0.8507692307692307,0.1511627906976745,0.4888888888888888,Graduate,1
0.0589473684210526,0.0943396226415094,0.2692307692307693,0.1923076923076923,0.737907284768212,0.3478260869565217,0.35,0.7723076923076921,0.4069767441860464,0.3111111111111111,Graduate,1
0.2778947368421052,0.0566037735849056,0.2307692307692307,0.1538461538461538,0.6887417218543046,0.2608695652173913,0.25,0.7430769230769231,0.5581395348837211,0.2888888888888888,Dropout,-1
0.154736842105263,0.2264150943396226,0.1923076923076923,0.0,0.0,0.217391304347826,0.0,0.0,1.0,0.2444444444444444,Dropout,-1
0.411578947368421,0.1320754716981132,0.1923076923076923,0.0769230769230769,0.609271523178808,0.217391304347826,0.15,0.7717948717948717,0.0,0.7555555555555555,Enrolled,1
0.3431578947368421,0.0188679245283018,0.2307692307692307,0.2307692307692307,0.6181015452538631,0.2608695652173913,0.25,0.7107692307692307,0.4069767441860464,0.3111111111111111,Graduate,1
0.3936842105263158,0.0943396226415094,0.2692307692307693,0.2307692307692307,0.7161147902869757,0.3478260869565217,0.35,0.7415384615384615,0.4069767441860464,0.3111111111111111,Graduate,1
0.4042105263157896,0.0754716981132075,0.2307692307692307,0.2307692307692307,0.609271523178808,0.2608695652173913,0.3,0.7153846153846154,0.5581395348837211,0.2888888888888888,Graduate,1
0.3273684210526315,0.0377358490566037,0.2307692307692307,0.1923076923076923,0.6534216335540839,0.2608695652173913,0.3,0.691025641025641,0.5930232558139535,1.0,Graduate,1
0.1947368421052631,0.1320754716981132,0.2307692307692307,0.2307692307692307,0.7240618101545253,0.2608695652173913,0.3,0.7628205128205128,0.5581395348837211,0.2888888888888888,Graduate,1
0.2768421052631578,0.0377358490566037,0.3076923076923077,0.2307692307692307,0.6269315673289183,0.3478260869565217,0.3,0.6371794871794871,0.2093023255813954,0.0,Enrolled,1
0.2821052631578946,0.0566037735849056,0.2307692307692307,0.1538461538461538,0.7417218543046358,0.2608695652173913,0.15,0.5923076923076923,0.2093023255813954,0.0,Enrolled,1
0.6768421052631579,0.0377358490566037,0.1923076923076923,0.1923076923076923,0.7795648060548722,0.217391304347826,0.25,0.8507692307692307,0.0,0.7555555555555555,Graduate,1
0.263157894736842,0.1886792452830188,0.1923076923076923,0.1923076923076923,0.5615894039735099,0.217391304347826,0.25,0.5923076923076923,0.2093023255813954,0.0,Dropout,-1
0.3589473684210524,0.0188679245283018,0.2692307692307693,0.2692307692307693,0.6910963944076527,0.3478260869565217,0.4,0.7320384615384615,0.9186046511627908,0.7999999999999999,Graduate,1
0.368421052631579,0.4150943396226415,0.2307692307692307,0.0,0.0,0.2608695652173913,0.0,0.0,0.5581395348837211,0.2888888888888888,Dropout,-1
0.6347368421052633,0.1886792452830188,0.2307692307692307,0.1923076923076923,0.6887417218543046,0.4782608695652174,0.5,0.6946153846153846,0.5581395348837211,0.2888888888888888,Dropout,-1
0.4715789473684211,0.0188679245283018,0.3076923076923077,0.3076923076923077,0.7912582781456954,0.3478260869565217,0.4,0.8041923076923077,0.2093023255813954,0.0,Graduate,1
0.2126315789473685,0.0188679245283018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7555555555555555,Enrolled,1
0.2094736842105262,0.0188679245283018,0.2692307692307693,0.2307692307692307,0.6958057395143488,0.3478260869565217,0.35,0.658076923076923,1.0,0.2444444444444444,Graduate,1
